date,return
3/1/1963,0.028900000000000002
4/1/1963,0.028999999999999998
5/1/1963,0.029300000000000003
6/1/1963,0.029900000000000003
7/1/1963,0.0318
8/1/1963,0.0332
9/1/1963,0.0338
10/1/1963,0.0345
11/1/1963,0.0352
12/1/1963,0.0352
1/1/1964,0.0352
2/1/1964,0.0353
3/1/1964,0.0354
4/1/1964,0.0347
5/1/1964,0.0348
6/1/1964,0.0348
7/1/1964,0.0346
8/1/1964,0.035
9/1/1964,0.0353
10/1/1964,0.035699999999999996
11/1/1964,0.0364
12/1/1964,0.0384
1/1/1965,0.0381
2/1/1965,0.0393
3/1/1965,0.0393
4/1/1965,0.0393
5/1/1965,0.038900000000000004
6/1/1965,0.038
7/1/1965,0.0384
8/1/1965,0.0384
9/1/1965,0.0392
10/1/1965,0.0403
11/1/1965,0.0409
12/1/1965,0.0438
1/1/1966,0.045899999999999996
2/1/1966,0.04650000000000001
3/1/1966,0.045899999999999996
4/1/1966,0.0462
5/1/1966,0.0464
6/1/1966,0.045
7/1/1966,0.048
8/1/1966,0.0496
9/1/1966,0.0537
10/1/1966,0.0535
11/1/1966,0.053200000000000004
12/1/1966,0.0496
1/1/1967,0.0472
2/1/1967,0.045599999999999995
3/1/1967,0.0426
4/1/1967,0.0384
5/1/1967,0.036000000000000004
6/1/1967,0.0354
7/1/1967,0.0421
8/1/1967,0.042699999999999995
9/1/1967,0.044199999999999996
10/1/1967,0.045599999999999995
11/1/1967,0.0473
12/1/1967,0.049699999999999994
1/1/1968,0.05
2/1/1968,0.049800000000000004
3/1/1968,0.051699999999999996
4/1/1968,0.0538
5/1/1968,0.056600000000000004
6/1/1968,0.0552
7/1/1968,0.053099999999999994
8/1/1968,0.0509
9/1/1968,0.0519
10/1/1968,0.0535
11/1/1968,0.0545
12/1/1968,0.0596
1/1/1969,0.061399999999999996
2/1/1969,0.061200000000000004
3/1/1969,0.0602
4/1/1969,0.0611
5/1/1969,0.0604
6/1/1969,0.0644
7/1/1969,0.07
8/1/1969,0.0698
9/1/1969,0.0709
10/1/1969,0.07
11/1/1969,0.0724
12/1/1969,0.0782
1/1/1970,0.0787
2/1/1970,0.0713
3/1/1970,0.0663
4/1/1970,0.06509999999999999
5/1/1970,0.0684
6/1/1970,0.0668
7/1/1970,0.0645
8/1/1970,0.0641
9/1/1970,0.061200000000000004
10/1/1970,0.0591
11/1/1970,0.0528
12/1/1970,0.0487
1/1/1971,0.0444
2/1/1971,0.037000000000000005
3/1/1971,0.0338
4/1/1971,0.038599999999999995
5/1/1971,0.0414
6/1/1971,0.0475
7/1/1971,0.054000000000000006
8/1/1971,0.049400000000000006
9/1/1971,0.046900000000000004
10/1/1971,0.0446
11/1/1971,0.042199999999999994
12/1/1971,0.0401
1/1/1972,0.0338
2/1/1972,0.032
3/1/1972,0.0373
4/1/1972,0.0371
5/1/1972,0.0369
6/1/1972,0.0391
7/1/1972,0.0398
8/1/1972,0.04019999999999999
9/1/1972,0.0466
10/1/1972,0.047400000000000005
11/1/1972,0.0478
12/1/1972,0.0507
1/1/1973,0.0541
2/1/1973,0.055999999999999994
3/1/1973,0.060899999999999996
4/1/1973,0.0626
5/1/1973,0.0636
6/1/1973,0.0719
7/1/1973,0.0801
8/1/1973,0.0867
